SDNN,RMSSD,SDSD,pNN5,pNN10,pNN50,pNN100,Mean(abs_a3),Mean(abs_d3),Mean(abs_d2),Power_a3,Power_d3,Power_d2,Std_a3,Std_d3,Std_d2,SD1,SD2,label
0.137554046,0.149246242,0.149112999,0.813559322,0.762711864,0.254237288,0.169491525,5.36,0.512,0.116,28.92261486,0.514477714,0.046597333,0.439334562,0.710346165,0.215705808,0.106343884,0.164847212,0
0.031609844,0.044435442,0.044434149,0.881355932,0.796610169,0.186440678,0.033898305,6.549714286,0.050285714,0.060266667,42.91352686,0.004534857,0.004580267,0.121530377,0.04944756,0.066009562,0.03168939,0.032062714,0
0.029993999,0.030653891,0.030637017,0.881355932,0.762711864,0.101694915,0.016949153,6.472,0.084571429,0.062133333,41.90090971,0.009728,0.005876267,0.118851648,0.097826168,0.076150027,0.0218496,0.036774601,0
0.080224684,0.081584312,0.081575185,0.847457627,0.694915254,0.06779661,0.050847458,6.096,0.116571429,0.088533333,37.18404114,0.060722286,0.025621333,0.151079922,0.232676003,0.159154209,0.058177503,0.098516738,0
0.143300523,0.129392846,0.129355257,0.779661017,0.661016949,0.169491525,0.13559322,4.9,0.234857143,0.085333333,24.91523429,0.112089143,0.0340864,0.951438009,0.263695557,0.181134008,0.092253127,0.182361026,0
0.037679998,0.060398675,0.060398523,0.813559322,0.559322034,0.118644068,0.050847458,4.828,0.049714286,0.034933333,23.31566857,0.003814857,0.001707733,0.078003663,0.061166884,0.039994666,0.043074806,0.032128706,0
0.038020988,0.043749673,0.043719405,0.881355932,0.779661017,0.186440678,0.016949153,5.365714286,0.077714286,0.0296,28.81878857,0.008594286,0.001517867,0.167029265,0.091998225,0.038885816,0.031179651,0.044362413,0
0.151480677,0.145977941,0.145976666,0.830508475,0.711864407,0.271186441,0.203389831,4.96,0.309714286,0.173066667,25.216736,0.188374857,0.102721067,0.784306063,0.433925414,0.310696994,0.104107125,0.189294325,0
0.134216475,0.142076609,0.141911504,0.86440678,0.762711864,0.288135593,0.237288136,4.826285714,0.166857143,0.2112,23.74134857,0.079981714,0.113211733,0.669563123,0.233198873,0.336008889,0.101207947,0.162467603,0
0.070004571,0.057318616,0.056728548,0.745762712,0.610169492,0.152542373,0.050847458,4.94,0.092,0.0784,24.47122971,0.016546286,0.017469867,0.260057137,0.117653244,0.130073757,0.040457466,0.091272103,0
0.153133261,0.180986375,0.180969917,0.898305085,0.813559322,0.542372881,0.406779661,3.874857143,0.237142857,0.278933333,15.30874286,0.109547429,0.158792533,0.542425091,0.317936202,0.393486885,0.129063488,0.176173538,0
0.095035783,0.111509823,0.111509493,0.762711864,0.644067797,0.152542373,0.152542373,4.625714286,0.213142857,0.057866667,21.50838629,0.141931429,0.006693333,0.33339711,0.359526219,0.080487404,0.079525948,0.109751475,0
0.155219057,0.1571811,0.157173365,0.86440678,0.813559322,0.440677966,0.305084746,4.534285714,0.351428571,0.108,21.30376914,0.180148571,0.022475733,0.862567217,0.418385624,0.149557926,0.112092347,0.190887211,0
0.084418297,0.09404795,0.094041694,0.779661017,0.694915254,0.169491525,0.050847458,5.478285714,0.113714286,0.108,30.11782629,0.027028571,0.031098667,0.3259017,0.158084452,0.170770802,0.067068324,0.099981559,0
0.205418986,0.230018422,0.229910331,0.915254237,0.813559322,0.423728814,0.406779661,4.584,0.208,0.258666667,22.03869257,0.098048,0.1595648,1.012737168,0.258202262,0.397553764,0.16396664,0.242774106,0
0.037285922,0.045595123,0.045578789,0.847457627,0.694915254,0.152542373,0.033898305,5.010857143,0.064571429,0.036266667,25.14311543,0.005177143,0.0020928,0.185542778,0.071950096,0.044839665,0.03250572,0.042083072,0
0.084542665,0.112965571,0.112965063,0.745762712,0.677966102,0.13559322,0.050847458,5.280571429,0.150285714,0.086133333,27.98080686,0.054955429,0.0271776,0.310438794,0.201723189,0.158876052,0.080564026,0.089703116,0
0.062208645,0.096438265,0.096438241,0.745762712,0.694915254,0.203389831,0.13559322,5.726285714,0.130857143,0.057866667,32.81796343,0.027645714,0.008513067,0.16617866,0.129269218,0.087568234,0.068777485,0.056041701,0
0.067477865,0.069227211,0.069064351,0.796610169,0.711864407,0.101694915,0.06779661,5.028571429,0.158857143,0.1136,25.32379886,0.060978286,0.039163733,0.193049851,0.221226267,0.197610616,0.04925507,0.082672912,0
0.020027869,0.017420035,0.017418848,0.779661017,0.627118644,0.033898305,0,4.586285714,0.052571429,0.034933333,21.04318171,0.003766857,0.001630933,0.095734326,0.061204242,0.040376891,0.012422713,0.025719729,0
0.085074477,0.095018999,0.095018781,0.847457627,0.610169492,0.152542373,0.118644068,4.210857143,0.126285714,0.138933333,17.79965943,0.023979429,0.047493333,0.26142217,0.154192564,0.213974038,0.06776516,0.100640753,0
0.030570574,0.023784342,0.023765396,0.830508475,0.610169492,0.050847458,0,4.902285714,0.063428571,0.030933333,24.07038857,0.006845714,0.001408,0.194893168,0.073347927,0.037142369,0.016948921,0.04016882,0
0.116921607,0.160936244,0.16093533,0.881355932,0.610169492,0.305084746,0.186440678,4.990285714,0.177714286,0.117066667,25.10938743,0.073812571,0.0469856,0.454352196,0.258372931,0.216642009,0.114775292,0.120960196,0
0.122502717,0.094658709,0.094657519,0.830508475,0.813559322,0.305084746,0.152542373,5.083428571,0.229714286,0.143466667,26.28664229,0.117481143,0.052128,0.667380135,0.306640519,0.224591916,0.067507516,0.161137442,0
0.029876412,0.028173795,0.028137799,0.830508475,0.661016949,0.084745763,0,5.173714286,0.088,0.041866667,26.79386971,0.010875429,0.002128,0.162942334,0.095826374,0.045176198,0.020067216,0.037586759,0
0.096172322,0.115781208,0.11578089,0.813559322,0.694915254,0.322033898,0.152542373,4.825714286,0.232571429,0.081866667,23.47338743,0.140614857,0.019019733,0.431125343,0.366965716,0.12542975,0.082572208,0.109515254,0
0.043863374,0.041712495,0.041710511,0.813559322,0.627118644,0.118644068,0.016949153,4.872571429,0.076,0.0664,23.78060571,0.008198857,0.010032,0.196604648,0.087149883,0.099818146,0.029746955,0.055030264,0
0.110888032,0.111631355,0.111631025,0.830508475,0.762711864,0.254237288,0.13559322,5.325142857,0.244,0.146933333,28.62442743,0.112052571,0.0544992,0.516992243,0.316449693,0.23344683,0.079612621,0.136641723,0
0.080682065,0.118452164,0.118452145,0.813559322,0.661016949,0.118644068,0.101694915,4.923428571,0.093714286,0.077066667,24.26961829,0.013216,0.016370133,0.171666502,0.111054317,0.127678485,0.084477284,0.078124541,0
0.103190353,0.112375883,0.112314001,0.86440678,0.796610169,0.152542373,0.13559322,4.901142857,0.26,0.0768,24.19078171,0.118626286,0.012125867,0.411801418,0.308217787,0.109599676,0.080099704,0.123456441,0
0.080954198,0.08234199,0.082287938,0.813559322,0.644067797,0.13559322,0.084745763,4.625142857,0.138285714,0.0576,21.55827657,0.041248,0.009284267,0.407835901,0.195864176,0.096301748,0.058685822,0.099424816,0
